CO_REGSAUD;DS_NOME;Ano;Pop_0a14;Pop_65emais;IndEnv
11001;Vale do Jamari;2010;65027;9548;14,68
11002;Café;2010;41452;8873;21,41
11003;Central;2010;90619;19244;21,24
11004;Madeira-Mamoré;2010;143047;19220;13,44
11005;Zona da Mata;2010;35330;7700;21,79
11006;Cone Sul;2010;35931;7248;20,17
11007;Vale do Guaporé;2010;12914;1683;13,03
12001;Alto Acre;2010;19232;3036;15,79
12002;Baixo Acre e Purus;2010;148131;20875;14,09
12003;Juruá e Tarauacá/Envira;2010;79867;7795;9,76
13001;Entorno Manaus e Alto Rio Negro;2010;625550;83965;13,42
13002;Rio Negro e Solimões;2010;94744;10700;11,29
13003;Rio Madeira;2010;60465;7158;11,84
13004;Médio Amazonas;2010;55099;7242;13,14
13005;Baixo Amazonas;2010;84377;10425;12,36
13006;Regional Purus;2010;44762;4859;10,86
13007;Regional Juruá;2010;49036;4084;8,33
13008;Triângulo;2010;50467;4211;8,34
13009;Alto Solimões;2010;91513;8034;8,78
14001;Centro Norte;2010;123922;12978;10,47
14002;Sul;2010;24959;2617;10,49
15001;Araguaia;2010;142649;18013;12,63
15002;Baixo Amazonas;2010;241877;36468;15,08
15003;Carajás;2010;236595;27562;11,65
15004;Lago de Tucuruí;2010;125770;12614;10,03
15006;Metropolitana I;2010;499335;113802;22,79
15007;Metropolitana II;2010;106175;16946;15,96
15008;Metropolitana III;2010;267394;40378;15,10
15009;Rio Caetés;2010;162201;26700;16,46
15010;Tapajós;2010;68879;7626;11,07
15011;Tocantins;2010;208159;27817;13,36
15012;Xingu;2010;103180;12300;11,92
15013;Marajó I;2010;74991;10311;13,75
15014;Marajó II;2010;117196;10161;8,67
16001;Área Central;2010;141789;15418;10,87
16002;Área Norte;2010;20652;1616;7,82
16003;Área Sudoeste;2010;59419;6053;10,19
17001;Médio Norte Araguaia;2010;75517;15024;19,89
17002;Bico do Papagaio;2010;61989;12363;19,94
17003;Sudeste;2010;28313;6509;22,99
17004;Cerrado Tocantins Araguaia;2010;42004;9537;22,70
17005;Ilha do Bananal;2010;44848;11269;25,13
17006;Capim Dourado;2010;83371;11260;13,51
17007;Cantão;2010;31916;7412;23,22
17008;Amor Perfeito;2010;30014;7272;24,23
21001;Açailândia;2010;90832;12323;13,57
21002;Bacabal;2010;83112;16831;20,25
21003;Balsas;2010;75198;13423;17,85
21004;Barra do Corda;2010;74625;12481;16,72
21005;Caxias;2010;92845;19640;21,15
21006;Chapadinha;2010;119293;22231;18,64
21007;Codó;2010;94904;20920;22,04
21008;Imperatriz;2010;145467;28833;19,82
21009;Itapecuru Mirim;2010;116695;20795;17,82
21010;Pedreiras;2010;64415;15205;23,60
21011;Pinheiro;2010;120562;25378;21,05
21012;Presidente Dutra;2010;85987;19609;22,80
21013;Rosário;2010;95291;15600;16,37
21014;Santa Inês;2010;128180;23119;18,04
21015;São João dos Patos;2010;72235;16735;23,17
21016;São Luís;2010;328274;66454;20,24
21017;Timon;2010;71260;14844;20,83
21018;Viana;2010;80046;17177;21,46
21019;Zé Doca;2010;94855;14740;15,54
22001;Carnaubais;2010;41742;14048;33,65
22002;Chapada das Mangabeiras;2010;58069;12783;22,01
22003;Cocais;2010;110310;30467;27,62
22004;Entre Rios;2010;290926;76673;26,35
22005;Planície Litorânea;2010;72269;19624;27,15
22006;Serra da Capivara;2010;39060;10668;27,31
22007;Tabuleiros do Alto Parnaíba;2010;13638;2785;20,42
22008;Vale do Canindé;2010;28724;8764;30,51
22009;Vale do Rio Guaribas;2010;94467;29037;30,74
22010;Vale do Sambito;2010;26436;10613;40,15
22011;Vale dos Rios Piauí e Itaueiras;2010;54395;17259;31,73
23001;1ª Região Fortaleza;2010;594850;170643;28,69
23002;2ª Região Caucaia;2010;155524;34861;22,42
23003;3ª Região Maracanaú;2010;130897;29113;22,24
23004;4ª Região Baturité;2010;37062;11582;31,25
23005;5ª Região Canindé;2010;56590;17294;30,56
23006;6ª Região Itapipoca;2010;81934;20382;24,88
23007;7ª Região Aracati;2010;27010;8315;30,78
23008;8ª Região Quixadá;2010;82440;28049;34,02
23009;9ª Região Russas;2010;46776;15951;34,10
23010;10ª Região Limoeiro do Norte;2010;53289;18782;35,25
23011;11ª Região Sobral;2010;168153;49883;29,67
23012;12ª Região Acaraú;2010;63227;14575;23,05
23013;13ª Região Tianguá;2010;88060;23324;26,49
23014;14ª Região Tauá;2010;30354;10780;35,51
23015;15ª Região Crateús;2010;77791;29276;37,63
23016;16ª Região Camocim;2010;45104;10711;23,75
23017;17ª Região Icó;2010;42876;16910;39,44
23018;18ª Região Iguatú;2010;76442;30205;39,51
23019;19ª Região Brejo Santo;2010;54392;18527;34,06
23020;20ª Região Crato;2010;89725;29410;32,78
23021;21ª Região Juazeiro do Norte;2010;108652;31492;28,98
23022;22ª Região Cascavel;2010;77102;21491;27,87
24001;1ª Região de Saúde - São José de Mipibu;2010;99590;27567;27,68
24002;2ª Região de Saúde - Mossoró;2010;105396;30563;29,00
24003;3ª Região de Saúde - João Câmara;2010;93042;24196;26,01
24004;4ª Região de Saúde - Caicó;2010;68143;28274;41,49
24005;5ª Região de Saúde - Santa Cruz;2010;50358;17312;34,38
24006;6ª Região de Saúde - Pau dos Ferros;2010;59980;23372;38,97
24007;7ª Região de Saúde - Metropolitana;2010;272522;76950;28,24
24008;8ª Região de Saúde - Açu;2010;36971;11000;29,75
25001;1ª Região Mata Atlântica;2010;285416;81905;28,70
25002;2ª Região;2010;80133;30384;37,92
25003;3ª Região;2010;50546;18993;37,58
25004;4ª Região;2010;28553;10967;38,41
25005;5ª Região;2010;28511;12712;44,59
25006;6ª Região;2010;58428;19789;33,87
25007;7ª Região;2010;38239;13022;34,05
25008;8ª Região;2010;27672;9452;34,16
25009;9ª Região;2010;41281;16532;40,05
25010;10ª Região;2010;26706;11178;41,86
25011;11ª Região;2010;23101;6783;29,36
25012;12ª Região;2010;45379;16153;35,60
25013;13ª Região;2010;13684;6003;43,87
25014;14ª Região;2010;40097;11638;29,02
25015;15ª Região;2010;39438;13884;35,20
25016;16ª Região;2010;125697;42223;33,59
26001;Afogados da Ingazeira;2010;47195;17272;36,60
26002;Arcoverde;2010;115230;28925;25,10
26003;Caruaru;2010;328867;101206;30,77
26004;Garanhuns;2010;147996;43404;29,33
26005;Goiana;2010;81165;23271;28,67
26006;Limoeiro;2010;145296;46062;31,70
26007;Ouricuri;2010;103173;24095;23,35
26008;Palmares;2010;168273;36471;21,67
26009;Petrolina;2010;127099;22250;17,51
26010;Recife;2010;890077;277141;31,14
26011;Salgueiro;2010;40520;10315;25,46
26012;Serra Talhada;2010;61878;18922;30,58
27001;1ª Região de Saúde;2010;303836;64249;21,15
27002;2ª Região de Saúde;2010;51721;7958;15,39
27003;3ª Região de Saúde;2010;69763;12947;18,56
27004;4ª Região de Saúde;2010;44260;8622;19,48
27005;5ª Região de Saúde;2010;69027;11311;16,39
27006;6ª Região de Saúde;2010;58391;11999;20,55
27007;7ª Região de Saúde;2010;146071;32011;21,91
27008;8ª Região de Saúde;2010;42077;12919;30,70
27009;9ª Região de Saúde;2010;75808;15441;20,37
27010;10ª Região de Saúde;2010;49407;10298;20,84
28001;Aracaju;2010;178793;43126;24,12
28002;Estância;2010;68508;13976;20,40
28003;Itabaiana;2010;62051;16847;27,15
28004;Lagarto;2010;65680;18755;28,56
28005;Nossa Senhora da Glória;2010;48363;9159;18,94
28006;Nossa Senhora do Socorro;2010;88973;14227;15,99
28007;Propriá;2010;43854;10893;24,84
29001;Alagoinhas;2010;137797;36770;26,68
29002;Barreiras;2010;112613;22042;19,57
29003;Brumado;2010;97467;37318;38,29
29004;Camaçari;2010;139410;21641;15,52
29005;Cruz das Almas;2010;62330;18864;30,26
29006;Feira de Santana;2010;269709;79944;29,64
29007;Guanambi;2010;106837;37067;34,69
29008;Ibotirama;2010;55537;15027;27,06
29009;Ilhéus;2010;87189;23403;26,84
29010;Irecê;2010;112082;29604;26,41
29011;Itaberaba;2010;70974;20415;28,76
29012;Itabuna;2010;132121;42394;32,09
29013;Itapetinga;2010;62720;21197;33,80
29014;Jacobina;2010;103327;31674;30,65
29015;Jequié;2010;127133;43725;34,39
29016;Juazeiro;2010;143172;33410;23,34
29017;Paulo Afonso;2010;65792;17772;27,01
29018;Porto Seguro;2010;101639;18161;17,87
29019;Ribeira do Pombal;2010;83157;27120;32,61
29020;Salvador;2010;668042;189819;28,41
29021;Santa Maria da Vitória;2010;81800;23012;28,13
29022;Santo Antônio de Jesus;2010;110636;34944;31,58
29023;Seabra;2010;48605;15930;32,77
29024;Senhor do Bonfim;2010;78846;23102;29,30
29025;Serrinha;2010;167191;50713;30,33
29026;Teixeira de Freitas;2010;115668;28958;25,04
29027;Valença;2010;85661;17594;20,54
29028;Vitória da Conquista;2010;162639;52858;32,50
31001;Águas Formosas;2010;15756;5966;37,86
31002;Além Paraíba;2010;11931;5771;48,37
31003;Alfenas Machado;2010;67132;27604;41,12
31004;Almenara;2010;45196;17755;39,28
31005;Araçuaí;2010;22226;8121;36,54
31006;Araxá;2010;36177;12754;35,25
31007;Barbacena;2010;46842;20218;43,16
31008;Belo Horizonte Nova Lima Caeté;2010;646485;253604;39,23
31009;Betim;2010;154349;34929;22,63
31010;Bom Despacho;2010;21565;9616;44,59
31011;Brasília de Minas São Francisco;2010;67528;18322;27,13
31012;Carangola;2010;29868;10820;36,23
31013;Caratinga;2010;45973;17299;37,63
31014;Conselheiro Lafaiete Congonhas;2010;62384;22863;36,65
31015;Contagem;2010;178081;43990;24,70
31016;Coração de Jesus;2010;12122;3914;32,29
31017;Coronel Fabriciano Timóteo;2010;48618;16826;34,61
31018;Curvelo;2010;41045;15163;36,94
31019;Diamantina;2010;44139;13570;30,74
31020;Divinópolis Santo Antônio do Monte;2010;89914;33773;37,56
31021;Formiga;2010;24449;12576;51,44
31022;Francisco Sá;2010;20376;4909;24,09
31023;Frutal Iturama;2010;34413;12474;36,25
31024;Governador Valadares;2010;99800;36183;36,26
31025;Guanhães;2010;29771;11053;37,13
31026;Guaxupé;2010;32304;14123;43,72
31027;Ipatinga;2010;86111;26877;31,21
31028;Itabira;2010;49439;17245;34,88
31029;Itajubá;2010;42337;17910;42,30
31030;Itaobim;2010;22463;8073;35,94
31031;Itaúna;2010;23743;9366;39,45
31032;Ituiutaba;2010;37537;19077;50,82
31033;Janaúba Monte Azul;2010;68916;19582;28,41
31034;Januária;2010;31852;8830;27,72
31035;João Monlevade;2010;28655;12154;42,41
31036;João Pinheiro;2010;17942;4316;24,06
31037;Juiz de Fora Lima Duarte Bom Jardim Min;2010;124041;60918;49,11
31038;Lavras;2010;35711;14949;41,86
31039;Leopoldina Cataguases;2010;34466;18830;54,63
31040;Manga;2010;17864;4515;25,27
31041;Manhuaçu;2010;80854;27075;33,49
31042;Mantena;2010;15802;6976;44,15
31043;Minas Novas Turmalina Capelinha;2010;33773;7336;21,72
31044;Montes Claros Bocaiúva;2010;108579;28900;26,62
31045;Muriaé;2010;34185;15707;45,95
31046;Nanuque;2010;16511;7046;42,67
31047;Ouro Preto;2010;38223;12022;31,45
31048;Padre Paraíso;2010;18056;5165;28,61
31049;Pará de Minas;2010;48341;12425;25,70
31050;Passos Piumhi;2010;58803;23765;40,41
31051;Patos de Minas;2010;71766;27505;38,33
31052;Patrocínio Monte Carmelo;2010;41075;13858;33,74
31053;Pedra Azul;2010;14392;4252;29,54
31054;Pirapora;2010;36566;8752;23,93
31055;Poços de Caldas;2010;42444;20390;48,04
31056;Ponte Nova;2010;46686;22746;48,72
31057;Pouso Alegre;2010;104918;42406;40,42
31058;Resplendor;2010;20477;9298;45,41
31059;Salinas Taiobeiras;2010;52716;16477;31,26
31060;Santa Maria do Suaçuí São João Evangeli;2010;28053;10007;35,67
31061;Santo Antônio do Amparo Campo Belo;2010;40745;19283;47,33
31062;Santos Dumont;2010;10300;4856;47,15
31063;São João del Rei;2010;47170;20921;44,35
31064;São João Nepomuceno Bicas;2010;14276;7522;52,69
31065;São Lourenço;2010;53718;24639;45,87
31066;São Sebastião do Paraíso;2010;25709;11871;46,17
31067;Sete Lagoas;2010;91317;31735;34,75
31068;Teófilo Otoni Malacacheta Itambacuri;2010;84371;29179;34,58
31069;Três Corações;2010;29441;9582;32,55
31070;Três Pontas;2010;27927;10097;36,15
31071;Ubá;2010;62700;27250;43,46
31072;Uberaba;2010;75231;30940;41,13
31073;Uberlândia Araguari;2010;169733;59761;35,21
31074;Unaí;2010;65819;15940;24,22
31075;Varginha;2010;39912;14013;35,11
31076;Vespasiano;2010;66717;17227;25,82
31077;Viçosa;2010;27194;11425;42,01
32001;Central;2010;134745;40652;30,17
32002;Metropolitana;2010;438292;129530;29,55
32003;Norte;2010;96880;27715;28,61
32004;Sul;2010;141725;51720;36,49
33001;Baia da Ilha Grande;2010;58981;14053;23,83
33002;Baixada Litorânea;2010;158607;51464;32,45
33003;Centro-Sul;2010;67736;29304;43,26
33004;Médio Paraíba;2010;179952;71283;39,61
33005;Metropolitana I;2010;2075771;906327;43,66
33006;Metropolitana II;2010;389840;172825;44,33
33007;Noroeste;2010;68587;34271;49,97
33008;Norte;2010;192588;63154;32,79
33009;Serrana;2010;193577;84708;43,76
35011;Alto do Tietê;2010;662330;142604;21,53
35012;Franco da Rocha;2010;130789;23864;18,25
35013;Mananciais;2010;246411;47761;19,38
35014;Rota dos Bandeirantes;2010;410269;88619;21,60
35015;Grande ABC;2010;531211;184444;34,72
35016;São Paulo;2010;2336636;915083;39,16
35021;Central do DRS II;2010;53100;26877;50,62
35022;Lagos do DRS II;2010;36324;19019;52,36
35023;Consórcios do DRS II;2010;49877;23518;47,15
35031;Central do DRS III;2010;56518;25062;44,34
35032;Centro Oeste do DRS III;2010;26382;12288;46,58
35033;Norte do DRS III;2010;30133;12536;41,60
35034;Coração do DRS III;2010;71686;31481;43,92
35041;Baixada Santista;2010;367021;150713;41,06
35051;Norte - Barretos;2010;54706;24777;45,29
35052;Sul - Barretos;2010;28725;13581;47,28
35061;Vale do Jurumirim;2010;62191;24124;38,79
35062;Bauru;2010;122036;52613;43,11
35063;Polo Cuesta;2010;61605;25440;41,30
35064;Jaú;2010;66178;29418;44,45
35065;Lins;2010;31554;15252;48,34
35071;Bragança;2010;87589;38409;43,85
35072;Região Metropolitana de Campinas;2010;571001;207453;36,33
35073;Jundiaí;2010;148260;51972;35,05
35074;Circuito das Águas;2010;23398;13187;56,36
35081;Três Colinas;2010;86935;29572;34,02
35082;Alta Anhanguera;2010;31804;11319;35,59
35083;Alta Mogiana;2010;25263;10263;40,62
35091;Adamantina;2010;22893;14619;63,86
35092;Assis;2010;48142;22646;47,04
35093;Marília;2010;73360;35355;48,19
35094;Ourinhos;2010;47644;20740;43,53
35095;Tupã;2010;24340;14424;59,26
35101;Araras;2010;64882;26030;40,12
35102;Limeira;2010;69652;25664;36,85
35103;Piracicaba;2010;111635;44759;40,09
35104;Rio Claro;2010;47897;21062;43,97
35111;Alta Paulista;2010;23427;14289;60,99
35112;Alta Sorocabana;2010;76617;37157;48,50
35113;Alto Capivari;2010;12232;5362;43,84
35114;Extremo Oeste Paulista;2010;18790;8652;46,05
35115;Pontal do Paranapanema;2010;16282;5481;33,66
35121;Vale do Ribeira;2010;72666;24039;33,08
35131;Horizonte Verde;2010;86414;28758;33,28
35132;Aquífero Guarani;2010;162372;68976;42,48
35133;Vale das Cachoeiras;2010;27033;12144;44,92
35141;Baixa Mogiana;2010;60045;25824;43,01
35142;Mantiqueira;2010;53921;24923;46,22
35143;Rio Pardo;2010;42112;20371;48,37
35151;Catanduva;2010;55632;30409;54,66
35152;Santa Fé do Sul;2010;7871;5408;68,71
35153;Jales;2010;18370;11975;65,19
35154;Fernandópolis;2010;20267;12675;62,54
35155;São José do Rio Preto;2010;120331;63610;52,86
35156;José Bonifácio;2010;18400;8833;48,01
35157;Votuporanga;2010;33264;19795;59,51
35161;Itapetininga;2010;104960;35207;33,54
35162;Itapeva;2010;71757;20543;28,63
35163;Sorocaba;2010;335703;111555;33,23
35171;Alto Vale do Paraíba;2010;213897;65243;30,50
35172;Circuito da Fé e Vale Histórico;2010;97461;37656;38,64
35173;Litoral Norte;2010;68137;17899;26,27
35174;Vale do Paraíba/Região Serrana;2010;122580;41095;33,53
41001;1ª RS Paranaguá;2010;68853;18533;26,92
41002;2ª RS Metropolitana;2010;730718;207429;28,39
41003;3ª RS Ponta Grossa;2010;147202;38619;26,24
41004;4ª RS Irati;2010;39888;11869;29,76
41005;5ª RS Guarapuava;2010;117585;29196;24,83
41006;6ª RS União da Vitória;2010;42494;12111;28,50
41007;7ª RS Pato Branco;2010;61986;18365;29,63
41008;8ª RS Francisco Beltrão;2010;77095;27819;36,08
