CO_REGSAUD;DS_NOME;ano;Pop_0a4;Pop_5a9;Pop_10a14;Pop_15a19;Pop_20a24;Pop_25a29;Pop_30a34;Pop_35a39;Pop_40a44;Pop_45a49;Pop_50a54;Pop_55a59;Pop_60a64;Pop_65a69;Pop_70a74;Pop_75a79;Pop_80emais;PopH_0a4;PopH_5a9;PopH_10a14;PopH_15a19;PopH_20a24;PopH_25a29;PopH_30a34;PopH_35a39;PopH_40a44;PopH_45a49;PopH_50a54;PopH_55a59;PopH_60a64;PopH_65a69;PopH_70a74;PopH_75a79;PopH_80emais;PopM_0a4;PopM_5a9;PopM_10a14;PopM_15a19;PopM_20a24;PopM_25a29;PopM_30a34;PopM_35a39;PopM_40a44;PopM_45a49;PopM_50a54;PopM_55a59;PopM_60a64;PopM_65a69;PopM_70a74;PopM_75a79;PopM_80emais
11001;Vale do Jamari;1991;13495;13680;13339;11253;9896;8869;7324;6068;4677;3613;2771;2181;1532;895;468;232;156;6946;7047;6872;5785;5200;4730;3924;3261;2590;2070;1658;1319;984;565;282;135;88;6549;6633;6467;5468;4696;4139;3400;2807;2087;1543;1113;862;548;330;186;97;68
11002;Café;1991;20300;20196;19453;16820;15101;13481;11350;8898;6750;5122;4097;3247;2494;1698;941;530;371;10409;10232;9846;8455;7754;7031;5876;4662;3724;2777;2272;1822;1443;959;591;284;191;9891;9964;9607;8365;7347;6450;5474;4236;3026;2345;1825;1425;1051;739;350;246;180
11003;Central;1991;42534;44287;42991;36129;30117;26865;22196;17914;14061;10559;8847;6731;5105;3641;1926;1116;739;21564;22688;21874;18375;15558;13944;11579;9255;7527;5779;4948;3712;3001;2199;1176;633;394;20970;21599;21117;17754;14559;12921;10617;8659;6534;4780;3899;3019;2104;1442;750;483;345
11004;Madeira-Mamoré;1991;45960;44715;41158;35428;33301;31691;26190;19959;14316;9798;7596;5443;4484;3344;1981;1166;835;23450;22755;20627;17116;16123;16039;13506;10247;7695;5292;4121;2864;2366;1877;1120;576;382;22510;21960;20531;18312;17178;15652;12684;9712;6621;4506;3475;2579;2118;1467;861;590;453
11005;Zona da Mata;1991;16514;15797;15858;14449;11728;10129;8231;6699;5236;4305;3446;2807;2025;1276;697;383;277;8448;7997;8124;7251;6211;5389;4350;3502;2846;2353;1972;1648;1228;807;430;229;143;8066;7800;7734;7198;5517;4740;3881;3197;2390;1952;1474;1159;797;469;267;154;134
11006;Cone Sul;1991;14596;14763;13736;12119;10323;9598;7980;6557;4798;3899;3077;2469;1771;1123;661;314;254;7444;7531;6978;6098;5256;4906;4080;3430;2589;2109;1717;1401;1030;664;401;178;132;7152;7232;6758;6021;5067;4692;3900;3127;2209;1790;1360;1068;741;459;260;136;122
11007;Vale do Guaporé;1991;1533;1509;1407;1182;911;803;671;577;510;351;273;239;181;121;55;32;21;750;776;713;591;488;409;350;318;286;204;169;151;117;87;39;19;10;783;733;694;591;423;394;321;259;224;147;104;88;64;34;16;13;11
12001;Alto Acre;1991;5118;5202;4843;3881;3263;2790;2268;1909;1486;1207;984;784;655;509;294;217;136;2589;2567;2442;1990;1700;1396;1210;1004;812;657;534;451;396;305;168;109;62;2529;2635;2401;1891;1563;1394;1058;905;674;550;450;333;259;204;126;108;74
12002;Baixo Acre e Purus;1991;35694;36979;35585;29401;24980;20923;17618;14832;11429;8430;6394;5001;4256;3501;2288;1515;1098;18083;18841;17759;14297;12327;10218;8792;7452;5895;4392;3353;2601;2309;1960;1288;799;510;17611;18138;17826;15104;12653;10705;8826;7380;5534;4038;3041;2400;1947;1541;1000;716;588
12003;Juruá e Tarauacá/Envira;1991;20838;20840;19168;13866;10045;7601;6295;5295;4501;3513;2853;1954;1874;1340;1008;684;573;10502;10524;9847;7008;5083;3842;3120;2636;2354;1873;1550;1054;978;743;543;356;293;10336;10316;9321;6858;4962;3759;3175;2659;2147;1640;1303;900;896;597;465;328;280
13001;Entorno Manaus e Alto Rio Negro;1991;147495;160214;158135;139962;121876;106230;90209;69581;53667;36869;29009;21523;17929;13338;8372;5513;4410;74523;80978;78701;66711;59702;52184;44574;34252;27471;18458;14542;10354;8465;6300;3958;2382;1719;72972;79236;79434;73251;62174;54046;45635;35329;26196;18411;14467;11169;9464;7038;4414;3131;2691
13002;Rio Negro e Solimões;1991;25642;25473;23565;17038;11987;9540;8213;6839;5859;4574;3983;2907;2482;1909;1137;818;654;12946;12949;12047;8927;6181;4869;4211;3556;3104;2503;2226;1596;1441;1051;643;459;327;12696;12524;11518;8111;5806;4671;4002;3283;2755;2071;1757;1311;1041;858;494;359;327
13003;Rio Madeira;1991;18022;19425;16976;12613;8512;7047;6020;5219;4333;3430;2792;1948;1605;1350;907;588;445;8953;9968;8773;6750;4496;3563;3147;2738;2370;1909;1550;1074;937;732;520;327;222;9069;9457;8203;5863;4016;3484;2873;2481;1963;1521;1242;874;668;618;387;261;223
13004;Médio Amazonas;1991;16228;16873;15679;11902;8181;6813;5719;4645;3784;3218;2616;2101;1758;1442;894;680;604;8168;8470;7969;6184;4211;3514;3005;2481;2002;1730;1430;1113;966;769;476;366;275;8060;8403;7710;5718;3970;3299;2714;2164;1782;1488;1186;988;792;673;418;314;329
13005;Baixo Amazonas;1991;20929;21144;18761;13713;9283;8046;6742;6047;4456;3754;2975;2856;2401;2169;1346;873;857;10609;10678;9490;7149;4777;4178;3481;3177;2357;1958;1602;1534;1251;1152;719;454;375;10320;10466;9271;6564;4506;3868;3261;2870;2099;1796;1373;1322;1150;1017;627;419;482
13006;Regional Purus;1991;18058;20491;18081;12357;8713;7547;6782;5332;4261;3094;2610;1663;1375;935;595;399;339;9073;10352;9330;6452;4481;3708;3493;2760;2343;1622;1498;934;796;547;333;226;175;8985;10139;8751;5905;4232;3839;3289;2572;1918;1472;1112;729;579;388;262;173;164
13007;Regional Juruá;1991;15460;16270;13831;9363;6620;5595;4278;3653;2920;2383;1733;1189;1063;815;492;309;268;7732;8386;7233;4920;3470;2799;2149;1883;1537;1316;913;625;621;492;280;175;133;7728;7884;6598;4443;3150;2796;2129;1770;1383;1067;820;564;442;323;212;134;135
13008;Triângulo;1991;16440;17118;15466;10892;7799;5577;5470;4083;3577;2659;2176;1349;1079;816;460;291;272;8339;8857;8016;5678;4173;2868;2729;2125;1917;1473;1268;730;606;451;244;170;148;8101;8261;7450;5214;3626;2709;2741;1958;1660;1186;908;619;473;365;216;121;124
13009;Alto Solimões;1991;22700;22627;19183;14744;11000;8790;7653;5820;5001;3728;3100;2010;1736;1241;872;525;442;11475;11663;9772;7642;5701;4385;3918;2944;2669;2009;1690;1091;975;707;507;304;225;11225;10964;9411;7102;5299;4405;3735;2876;2332;1719;1410;919;761;534;365;221;217
14001;Centro Norte;1991;25539;25348;21679;19330;21030;21317;16336;11540;8475;5455;4239;2852;2297;1781;1006;646;564;13004;12944;10806;9759;12226;13161;9869;6650;5133;3255;2505;1616;1275;961;558;356;271;12535;12404;10873;9571;8804;8156;6467;4890;3342;2200;1734;1236;1022;820;448;290;293
14002;Sul;1991;4182;4405;3810;2627;2267;2331;2125;1739;1384;1052;762;526;386;256;155;85;57;2143;2221;1988;1383;1325;1383;1334;1071;904;682;498;344;238;154;100;52;28;2039;2184;1822;1244;942;948;791;668;480;370;264;182;148;102;55;33;29
