CO_REGSAUD;DS_NOME;Ano;Pop_0a4;Pop_5a9;Pop_10a14;Pop_15a19;Pop_20a24;Pop_25a29;Pop_30a34;Pop_35a39;Pop_40a44;Pop_45a49;Pop_50a54;Pop_55a59;Pop_60a64;Pop_65a69;Pop_70a74;Pop_75a79;Pop_80emais;PopH_0a4;PopH_5a9;PopH_10a14;PopH_15a19;PopH_20a24;PopH_25a29;PopH_30a34;PopH_35a39;PopH_40a44;PopH_45a49;PopH_50a54;PopH_55a59;PopH_60a64;PopH_65a69;PopH_70a74;PopH_75a79;PopH_80emais;PopM_0a4;PopM_5a9;PopM_10a14;PopM_15a19;PopM_20a24;PopM_25a29;PopM_30a34;PopM_35a39;PopM_40a44;PopM_45a49;PopM_50a54;PopM_55a59;PopM_60a64;PopM_65a69;PopM_70a74;PopM_75a79;PopM_80emais
11001;Vale do Jamari;2010;19237;21951;23839;22293;20287;20295;18685;16621;14953;12074;9842;7607;5436;3930;2739;1591;1288;9750;11222;12221;11283;10213;10115;9391;8522;8078;6434;5336;4088;3060;2199;1647;933;714;9487;10729;11618;11010;10074;10180;9294;8099;6875;5640;4506;3519;2376;1731;1092;658;574
11002;Café;2010;12322;13410;15720;15996;15518;14309;13489;12243;11285;9756;7819;5929;4350;3299;2385;1640;1549;6282;6829;7933;8074;7756;7048;6568;6010;5718;4997;3967;3047;2257;1659;1239;801;832;6040;6581;7787;7922;7762;7261;6921;6233;5567;4759;3852;2882;2093;1640;1146;839;717
11003;Central;2010;26701;30097;33821;34543;31780;31373;28382;25192;23146;20436;16395;12956;9465;7097;5374;3523;3250;13460;15243;17349;17342;15973;15542;13968;12340;11837;10607;8318;6582;4926;3610;2813;1859;1738;13241;14854;16472;17201;15807;15831;14414;12852;11309;9829;8077;6374;4539;3487;2561;1664;1512
11004;Madeira-Mamoré;2010;44449;46691;51907;51309;54833;52227;46433;38649;34610;29679;23185;16526;11356;7384;5073;3285;3478;22653;23703;26359;25813;28312;26807;23540;19222;17549;15297;12016;8518;5891;3821;2468;1563;1653;21796;22988;25548;25496;26521;25420;22893;19427;17061;14382;11169;8008;5465;3563;2605;1722;1825
11005;Zona da Mata;2010;10357;11673;13300;14086;12362;11773;10983;10367;9379;8077;6324;5034;3826;3001;2176;1383;1140;5212;5954;6923;7293;6211;5744;5501;5157;4867;4324;3293;2548;2034;1589;1214;760;641;5145;5719;6377;6793;6151;6029;5482;5210;4512;3753;3031;2486;1792;1412;962;623;499
11006;Cone Sul;2010;11053;11690;13188;13384;12948;12664;11590;10422;9677;8444;6570;4907;3749;2835;2046;1305;1062;5574;6015;6684;6703;6449;6238;5692;5067;4952;4347;3388;2482;1900;1478;1065;689;550;5479;5675;6504;6681;6499;6426;5898;5355;4725;4097;3182;2425;1849;1357;981;616;512
11007;Vale do Guaporé;2010;3809;4322;4783;4344;3624;3598;3392;2997;2529;2154;1726;1394;987;671;492;288;232;1923;2250;2471;2248;1876;1855;1711;1573;1363;1192;927;780;559;375;298;170;133;1886;2072;2312;2096;1748;1743;1681;1424;1166;962;799;614;428;296;194;118;99
12001;Alto Acre;2010;5926;6434;6872;6218;5354;5010;4567;3929;3377;2630;2170;1719;1419;1074;807;544;611;3028;3293;3442;3163;2718;2495;2277;2040;1769;1362;1168;902;744;565;451;322;332;2898;3141;3430;3055;2636;2515;2290;1889;1608;1268;1002;817;675;509;356;222;279
12002;Baixo Acre e Purus;2010;45721;48880;53530;48570;46451;45304;40536;32718;27964;22041;18217;14289;10295;7631;5345;3611;4288;23362;25070;27113;24001;22931;22226;19601;16054;13692;10867;8995;7056;5123;3760;2632;1792;2117;22359;23810;26417;24569;23520;23078;20935;16664;14272;11174;9222;7233;5172;3871;2713;1819;2171
12003;Juruá e Tarauacá/Envira;2010;25718;26844;27305;22195;18530;17104;14002;11130;8587;6810;5532;4449;3506;2916;1933;1353;1593;13085;13645;13892;11276;9539;8648;7250;5742;4479;3536;2720;2260;1846;1432;1002;702;807;12633;13199;13413;10919;8991;8456;6752;5388;4108;3274;2812;2189;1660;1484;931;651;786
13001;Entorno Manaus e Alto Rio Negro;2010;199549;204993;221008;209637;210121;211292;190752;157831;130946;106230;85484;63174;44763;31061;22041;14530;16333;101178;104387;111328;102839;103237;103506;93070;77120;65401;52619;41834;30582;21117;14573;9959;6217;6287;98371;100606;109680;106798;106884;107786;97682;80711;65545;53611;43650;32592;23646;16488;12082;8313;10046
13002;Rio Negro e Solimões;2010;29658;31901;33185;29234;25099;21274;18043;14152;11356;9423;7460;6077;4465;3941;2841;1881;2037;15212;16290;17092;14955;12861;10855;9406;7416;6038;5065;4030;3164;2437;2149;1526;1033;1037;14446;15611;16093;14279;12238;10419;8637;6736;5318;4358;3430;2913;2028;1792;1315;848;1000
13003;Rio Madeira;2010;18438;20383;21644;18931;15919;14289;11861;9531;7816;6767;5283;4415;3228;2706;1784;1248;1420;9358;10445;11191;9886;8199;7383;6239;5165;4301;3712;2934;2504;1919;1496;991;710;672;9080;9938;10453;9045;7720;6906;5622;4366;3515;3055;2349;1911;1309;1210;793;538;748
13004;Médio Amazonas;2010;17417;18675;19007;16471;13032;11924;10627;8716;7159;6094;5191;4321;3254;2577;1869;1295;1501;8875;9597;9725;8437;6701;6081;5551;4557;3813;3288;2765;2316;1741;1419;976;713;731;8542;9078;9282;8034;6331;5843;5076;4159;3346;2806;2426;2005;1513;1158;893;582;770
13005;Baixo Amazonas;2010;26720;28716;28941;24318;18819;16605;14142;11429;9408;8479;7055;5675;4149;3378;2610;2057;2380;13474;14692;14693;12748;9810;8568;7356;6085;4963;4512;3816;3074;2186;1753;1386;1078;1146;13246;14024;14248;11570;9009;8037;6786;5344;4445;3967;3239;2601;1963;1625;1224;979;1234
13006;Regional Purus;2010;14257;15279;15226;13182;11422;10158;8461;6459;5392;4654;3712;3013;2240;1904;1240;881;834;7264;7851;7857;6855;6102;5277;4497;3462;2919;2492;2017;1659;1164;1060;657;464;425;6993;7428;7369;6327;5320;4881;3964;2997;2473;2162;1695;1354;1076;844;583;417;409
13007;Regional Juruá;2010;16216;16610;16210;13417;11166;9302;7825;6066;5038;3973;2925;2366;1845;1608;1009;715;752;8259;8424;8193;6952;5848;4816;4042;3093;2699;2072;1540;1229;964;850;488;404;413;7957;8186;8017;6465;5318;4486;3783;2973;2339;1901;1385;1137;881;758;521;311;339
13008;Triângulo;2010;16835;17395;16237;13919;11959;10389;8752;6486;5154;4105;3142;2527;1977;1585;1071;712;843;8724;8900;8237;7155;6196;5426;4581;3412;2808;2246;1710;1357;1033;874;586;377;434;8111;8495;8000;6764;5763;4963;4171;3074;2346;1859;1432;1170;944;711;485;335;409
13009;Alto Solimões;2010;32225;30317;28971;25685;22095;18171;15057;12162;9775;7608;5692;4676;3626;2962;2104;1367;1601;16164;15375;14888;12912;11232;9339;7742;6469;5295;4089;3067;2486;1949;1543;1094;751;869;16061;14942;14083;12773;10863;8832;7315;5693;4480;3519;2625;2190;1677;1419;1010;616;732
14001;Centro Norte;2010;40304;40998;42620;39034;36837;36538;31537;25311;21483;18035;14031;10451;7316;4917;3419;2172;2470;20570;20910;21563;19548;18304;17976;15472;12622;10954;9240;7217;5466;3846;2551;1732;1078;1127;19734;20088;21057;19486;18533;18562;16065;12689;10529;8795;6814;4985;3470;2366;1687;1094;1343
14002;Sul;2010;7299;8369;9291;7953;6779;6652;5458;4437;3825;3486;2887;2196;1757;1089;741;403;384;3749;4344;4758;4189;3524;3422;2854;2287;2085;1902;1614;1253;1096;662;468;256;220;3550;4025;4533;3764;3255;3230;2604;2150;1740;1584;1273;943;661;427;273;147;164
15001;Araguaia;2010;43255;48050;51344;46999;46905;45291;42457;34977;29994;23127;18461;13832;10228;7442;5063;3021;2487;22129;24396;26224;23675;23646;23046;22394;18557;16610;12748;10363;7657;5918;4302;2961;1757;1395;21126;23654;25120;23324;23259;22245;20063;16420;13384;10379;8098;6175;4310;3140;2102;1264;1092
15002;Baixo Amazonas;2010;75519;81499;84859;76769;64450;59234;51784;42940;35487;30665;25699;21302;15801;13272;9555;6704;6937;38169;41164;43173;39143;32530;29600;26108;22029;18304;15798;13173;10785;8250;6822;4910;3332;3183;37350;40335;41686;37626;31920;29634;25676;20911;17183;14867;12526;10517;7551;6450;4645;3372;3754
15003;Carajás;2010;77384;77583;81628;76682;77478;73968;62384;48635;40938;33756;26675;20586;14695;10709;7561;4838;4454;39648;39479;41193;38594;38957;37478;31888;25180;21250;17788;14214;10986;8116;5934;4173;2745;2400;37736;38104;40435;38088;38521;36490;30496;23455;19688;15968;12461;9600;6579;4775;3388;2093;2054
15004;Lago de Tucuruí;2010;39922;41733;44115;40088;39432;36450;31088;23770;19471;15351;12241;9717;6772;5142;3551;2095;1826;20196;21290;22197;19939;19595;18342;16022;12427;10180;8069;6518;5203;3726;2833;1979;1238;991;19726;20443;21918;20149;19837;18108;15066;11343;9291;7282;5723;4514;3046;2309;1572;857;835
15006;Metropolitana I;2010;152799;163346;183190;188806;200371;203267;184766;161671;140754;117099;99484;75929;57133;41083;29888;19789;23042;78319;83298;92455;91789;95887;96416;87330;76305;66416;54981;46061;34544;25210;17528;12325;7515;7718;74480;80048;90735;97017;104484;106851;97436;85366;74338;62118;53423;41385;31923;23555;17563;12274;15324
15007;Metropolitana II;2010;33514;35076;37585;36119;32387;29367;25132;21185;17512;13408;11062;9471;7535;6463;4485;2844;3154;17199;18050;19393;18657;17019;15437;13154;10985;9097;7109;5708;4921;3944;3370;2276;1453;1413;16315;17026;18192;17462;15368;13930;11978;10200;8415;6299;5354;4550;3591;3093;2209;1391;1741
15008;Metropolitana III;2010;81910;89741;95743;88671;82541;75824;65409;54191;45527;34948;29464;23897;18613;15217;10595;6812;7754;41594;45383;48843;44896;41753;37816;33192;27598;23591;17804;15093;12170;9615;7789;5405;3442;3606;40316;44358;46900;43775;40788;38008;32217;26593;21936;17144;14371;11727;8998;7428;5190;3370;4148
15009;Rio Caetés;2010;50297;54530;57374;53011;46897;42600;35114;29773;24888;20701;17483;14947;11480;9494;6993;4966;5247;25734;27719;29428;27464;24330;21526;18155;15443;12763;10615;8863;7644;5955;4876;3549;2514;2451;24563;26811;27946;25547;22567;21074;16959;14330;12125;10086;8620;7303;5525;4618;3444;2452;2796
15010;Tapajós;2010;21063;22969;24847;21811;20007;19172;16571;13510;12328;10310;8483;6312;4522;3090;2058;1310;1168;10453;11735;12660;11087;10164;9787;8654;7159;6857;5876;4676;3495;2633;1822;1161;723;599;10610;11234;12187;10724;9843;9385;7917;6351;5471;4434;3807;2817;1889;1268;897;587;569
15011;Tocantins;2010;65302;68633;74224;69354;62101;54329;45602;37113;30134;23723;19853;16575;12419;10182;7160;4681;5794;33302;35107;37830;35906;31854;27948;23533;19115;15763;12371;10334;8706;6381;5187;3505;2306;2509;32000;33526;36394;33448;30247;26381;22069;17998;14371;11352;9519;7869;6038;4995;3655;2375;3285
15012;Xingu;2010;33158;33954;36068;33173;30051;28271;24280;19737;16694;13797;11196;8710;6447;4880;3357;2078;1985;16864;17343;18577;16836;15493;14584;12576;10515;9060;7634;6229;4933;3626;2711;1878;1193;1081;16294;16611;17491;16337;14558;13687;11704;9222;7634;6163;4967;3777;2821;2169;1479;885;904
15013;Marajó I;2010;23849;25162;25980;23901;20494;17870;14830;12466;10412;8570;7049;5742;4300;3626;2627;1932;2126;12126;12772;13357;12517;10828;9337;7680;6506;5504;4483;3733;3018;2250;1864;1332;951;944;11723;12390;12623;11384;9666;8533;7150;5960;4908;4087;3316;2724;2050;1762;1295;981;1182
15014;Marajó II;2010;38683;39302;39211;31793;25890;21822;17858;14568;10686;8542;7059;6007;4492;3786;2450;1655;2270;19683;20115;20217;16474;13485;11431;9335;7706;5747;4564;3741;3195;2434;2001;1275;881;1100;19000;19187;18994;15319;12405;10391;8523;6862;4939;3978;3318;2812;2058;1785;1175;774;1170
16001;Área Central;2010;44758;45972;51059;47799;46091;43622;38116;32312;25613;19806;15609;11253;7500;5789;4009;2644;2976;22713;23556;25624;23638;22639;21074;18446;15887;12821;9892;7865;5585;3687;2827;1846;1183;1191;22045;22416;25435;24161;23452;22548;19670;16425;12792;9914;7744;5668;3813;2962;2163;1461;1785
16002;Área Norte;2010;6771;6992;6889;5731;4978;4507;3922;3378;2783;2282;1839;1350;896;656;442;222;296;3561;3488;3619;2992;2630;2288;1971;1822;1505;1276;1047;763;550;370;266;122;142;3210;3504;3270;2739;2348;2219;1951;1556;1278;1006;792;587;346;286;176;100;154
16003;Área Sudoeste;2010;18444;19692;21283;19744;17480;15672;13254;11064;8882;6871;5403;4029;2793;2387;1527;1064;1075;9380;10023;10687;9913;8777;7809;6651;5505;4513;3606;2794;2114;1457;1185;809;546;480;9064;9669;10596;9831;8703;7863;6603;5559;4369;3265;2609;1915;1336;1202;718;518;595
17001;Médio Norte Araguaia;2010;23645;24590;27282;27075;26651;24048;21631;17859;15926;12889;10593;8665;6772;5218;4175;2686;2945;12013;12565;13880;13560;13234;12095;10783;8996;7887;6404;5272;4380;3509;2766;2100;1399;1492;11632;12025;13402;13515;13417;11953;10848;8863;8039;6485;5321;4285;3263;2452;2075;1287;1453
17002;Bico do Papagaio;2010;18863;20728;22398;20147;17527;15986;14266;10991;10092;8613;7463;6431;5226;4214;3428;2330;2391;9569;10621;11617;10515;8886;7914;7154;5637;5041;4336;3684;3115;2714;2157;1790;1224;1206;9294;10107;10781;9632;8641;8072;7112;5354;5051;4277;3779;3316;2512;2057;1638;1106;1185
17003;Sudeste;2010;8237;9258;10818;9406;7764;7343;6875;5863;5282;4751;4041;3425;2804;2273;1684;1159;1393;4143;4764;5642;4877;4003;3780;3426;3067;2773;2535;2104;1821;1440;1195;858;594;657;4094;4494;5176;4529;3761;3563;3449;2796;2509;2216;1937;1604;1364;1078;826;565;736
17004;Cerrado Tocantins Araguaia;2010;12609;13971;15424;14351;12585;12389;11952;10145;9252;7874;6430;5358;4328;3356;2628;1763;1790;6425;7222;7888;7389;6499;6318;5996;5233;4767;4081;3323;2752;2300;1770;1410;930;950;6184;6749;7536;6962;6086;6071;5956;4912;4485;3793;3107;2606;2028;1586;1218;833;840
17005;Ilha do Bananal;2010;13297;14985;16566;16067;15395;14825;14429;12664;11625;10121;8159;6735;5409;3953;3019;2067;2230;6715;7573;8486;8274;7814;7386;7098;6427;5861;5178;4189;3470;2769;2079;1659;1127;1145;6582;7412;8080;7793;7581;7439;7331;6237;5764;4943;3970;3265;2640;1874;1360;940;1085
17006;Capim Dourado;2010;27113;26825;29433;30963;33076;32117;28276;22674;18904;15145;11477;8509;5804;4201;3001;1963;2095;13669;13669;14849;15053;16264;15710;13726;11231;9465;7680;5878;4550;3088;2198;1546;965;1028;13444;13156;14584;15910;16812;16407;14550;11443;9439;7465;5599;3959;2716;2003;1455;998;1067
