CO_REGSAUD;DS_NOME;Ano;Pop_0a5;Pop_6a9;Pop_10a14;Pop_15a64;Pop_65emais;Pop_Total;PopH_0a5;PopH_6a9;PopH_10a14;PopH_15a64;PopH_65emais;PopH_Total;PopM_0a5;PopM_6a9;PopM_10a14;PopM_15a64;PopM_65emais;PopM_Total;p_Pop_0a5;p_Pop_6a9;p_Pop_10a14;p_Pop_15a64;p_Pop_65emais;p_PopH_0a5;p_PopH_6a9;p_PopH_10a14;p_PopH_15a64;p_PopH_65emais;p_PopM_0a5;p_PopM_6a9;p_PopM_10a14;p_PopM_15a64;p_PopM_65emais
11001;Vale do Jamari;2010;23472;17716;23839;148093;9548;222668;11911;9061;12221;76520;5493;115206;11561;8655;11618;71573;4055;107462;10,54;7,96;10,71;66,51;4,29;10,34;7,87;10,61;66,42;4,77;10,76;8,05;10,81;66,60;3,77
11002;Café;2010;14937;10795;15720;110694;8873;161019;7646;5465;7933;55442;4531;81017;7291;5330;7787;55252;4342;80002;9,28;6,70;9,76;68,75;5,51;9,44;6,75;9,79;68,43;5,59;9,11;6,66;9,73;69,06;5,43
11003;Central;2010;32532;24266;33821;233668;19244;343531;16396;12307;17349;117435;10020;173507;16136;11959;16472;116233;9224;170024;9,47;7,06;9,85;68,02;5,60;9,45;7,09;10,00;67,68;5,77;9,49;7,03;9,69;68,36;5,43
11004;Madeira-Mamoré;2010;53810;37330;51907;358807;19220;521074;27382;18974;26359;182965;9505;265185;26428;18356;25548;175842;9715;255889;10,33;7,16;9,96;68,86;3,69;10,33;7,16;9,94;69,00;3,58;10,33;7,17;9,98;68,72;3,80
11005;Zona da Mata;2010;12604;9426;13300;92211;7700;135241;6365;4801;6923;46972;4204;69265;6239;4625;6377;45239;3496;65976;9,32;6,97;9,83;68,18;5,69;9,19;6,93;9,99;67,81;6,07;9,46;7,01;9,67;68,57;5,30
11006;Cone Sul;2010;13451;9292;13188;94355;7248;137534;6795;4794;6684;47218;3782;69273;6656;4498;6504;47137;3466;68261;9,78;6,76;9,59;68,60;5,27;9,81;6,92;9,65;68,16;5,46;9,75;6,59;9,53;69,05;5,08
11007;Vale do Guaporé;2010;4678;3453;4783;26745;1683;41342;2379;1794;2471;14084;976;21704;2299;1659;2312;12661;707;19638;11,32;8,35;11,57;64,69;4,07;10,96;8,27;11,38;64,89;4,50;11,71;8,45;11,77;64,47;3,60
12001;Alto Acre;2010;7145;5215;6872;36393;3036;58661;3655;2666;3442;18638;1670;30071;3490;2549;3430;17755;1366;28590;12,18;8,89;11,71;62,04;5,18;12,15;8,87;11,45;61,98;5,55;12,21;8,92;12,00;62,10;4,78
12002;Baixo Acre e Purus;2010;55377;39224;53530;306385;20875;475391;28250;20182;27113;150546;10301;236392;27127;19042;26417;155839;10574;238999;11,65;8,25;11,26;64,45;4,39;11,95;8,54;11,47;63,68;4,36;11,35;7,97;11,05;65,20;4,42
12003;Juruá e Tarauacá/Envira;2010;31185;21377;27305;111845;7795;199507;15839;10891;13892;57296;3943;101861;15346;10486;13413;54549;3852;97646;15,63;10,71;13,69;56,06;3,91;15,55;10,69;13,64;56,25;3,87;15,72;10,74;13,74;55,86;3,94
