CO_REGSAUD;DS_NOME;Ano;Pop_Total;Pop_Hom;Pop_Mul;p_Pop_Hom;p_Pop_Mul
11001;Vale do Jamari;2010;222668;115206;107462;51,74;48,26
11002;Café;2010;161019;81017;80002;50,32;49,68
11003;Central;2010;343531;173507;170024;50,51;49,49
11004;Madeira-Mamoré;2010;521074;265185;255889;50,89;49,11
11005;Zona da Mata;2010;135241;69265;65976;51,22;48,78
11006;Cone Sul;2010;137534;69273;68261;50,37;49,63
11007;Vale do Guaporé;2010;41342;21704;19638;52,50;47,50
12001;Alto Acre;2010;58661;30071;28590;51,26;48,74
12002;Baixo Acre e Purus;2010;475391;236392;238999;49,73;50,27
12003;Juruá e Tarauacá/Envira;2010;199507;101861;97646;51,06;48,94
13001;Entorno Manaus e Alto Rio Negro;2010;2119745;1045254;1074491;49,31;50,69
13002;Rio Negro e Solimões;2010;252027;130566;121461;51,81;48,19
13003;Rio Madeira;2010;165663;87105;78558;52,58;47,42
13004;Médio Amazonas;2010;149130;77286;71844;51,82;48,18
13005;Baixo Amazonas;2010;214881;111340;103541;51,81;48,19
13006;Regional Purus;2010;118314;62022;56292;52,42;47,58
13007;Regional Juruá;2010;117043;60286;56757;51,51;48,49
13008;Triângulo;2010;123088;64056;59032;52,04;47,96
13009;Alto Solimões;2010;224094;115264;108830;51,44;48,56
14001;Centro Norte;2010;377473;190176;187297;50,38;49,62
14002;Sul;2010;73006;38683;34323;52,99;47,01
15001;Araguaia;2010;472933;247778;225155;52,39;47,61
15002;Baixo Amazonas;2010;702476;356473;346003;50,75;49,25
15003;Carajás;2010;739954;380023;359931;51,36;48,64
15004;Lago de Tucuruí;2010;372764;190745;182019;51,17;48,83
15006;Metropolitana I;2010;2042417;974097;1068320;47,69;52,31
15007;Metropolitana II;2010;326299;169185;157114;51,85;48,15
15008;Metropolitana III;2010;826857;419590;407267;50,75;49,25
15009;Rio Caetés;2010;485795;249029;236766;51,26;48,74
15010;Tapajós;2010;209531;109541;99990;52,28;47,72
15011;Tocantins;2010;607179;311657;295522;51,33;48,67
15012;Xingu;2010;307836;161133;146703;52,34;47,66
15013;Marajó I;2010;210936;109202;101734;51,77;48,23
15014;Marajó II;2010;276074;143384;132690;51,94;48,06
16001;Área Central;2010;444928;220474;224454;49,55;50,45
16002;Área Norte;2010;53934;28412;25522;52,68;47,32
16003;Área Sudoeste;2010;170664;86249;84415;50,54;49,46
17001;Médio Norte Araguaia;2010;262650;132335;130315;50,38;49,62
17002;Bico do Papagaio;2010;191094;97180;93914;50,85;49,15
17003;Sudeste;2010;92376;47679;44697;51,61;48,39
17004;Cerrado Tocantins Araguaia;2010;146205;75253;70952;51,47;48,53
17005;Ilha do Bananal;2010;171546;87250;84296;50,86;49,14
17006;Capim Dourado;2010;301576;150569;151007;49,93;50,07
