CO_REGSAUD;DS_NOME;Ano;Pop_0a14;Pop_15a64;Pop_65emais;RazDep
11001;Vale do Jamari;2010;65027;148093;9548;50,36
11002;Café;2010;41452;110694;8873;45,46
11003;Central;2010;90619;233668;19244;47,02
11004;Madeira-Mamoré;2010;143047;358807;19220;45,22
11005;Zona da Mata;2010;35330;92211;7700;46,66
11006;Cone Sul;2010;35931;94355;7248;45,76
11007;Vale do Guaporé;2010;12914;26745;1683;54,58
12001;Alto Acre;2010;19232;36393;3036;61,19
12002;Baixo Acre e Purus;2010;148131;306385;20875;55,16
12003;Juruá e Tarauacá/Envira;2010;79867;111845;7795;78,38
13001;Entorno Manaus e Alto Rio Negro;2010;625550;1410230;83965;50,31
13002;Rio Negro e Solimões;2010;94744;146583;10700;71,93
13003;Rio Madeira;2010;60465;98040;7158;68,97
13004;Médio Amazonas;2010;55099;86789;7242;71,83
13005;Baixo Amazonas;2010;84377;120079;10425;78,95
13006;Regional Purus;2010;44762;68693;4859;72,24
13007;Regional Juruá;2010;49036;63923;4084;83,10
13008;Triângulo;2010;50467;68410;4211;79,93
13009;Alto Solimões;2010;91513;124547;8034;79,93
14001;Centro Norte;2010;123922;240573;12978;56,91
14002;Sul;2010;24959;45430;2617;60,70
15001;Araguaia;2010;142649;312271;18013;51,45
15002;Baixo Amazonas;2010;241877;424131;36468;65,63
15003;Carajás;2010;236595;475797;27562;55,52
15004;Lago de Tucuruí;2010;125770;234380;12614;59,04
15006;Metropolitana I;2010;499335;1429280;113802;42,90
15007;Metropolitana II;2010;106175;203178;16946;60,60
15008;Metropolitana III;2010;267394;519085;40378;59,29
15009;Rio Caetés;2010;162201;296894;26700;63,63
15010;Tapajós;2010;68879;133026;7626;57,51
15011;Tocantins;2010;208159;371203;27817;63,57
15012;Xingu;2010;103180;192356;12300;60,03
15013;Marajó I;2010;74991;125634;10311;67,90
15014;Marajó II;2010;117196;148717;10161;85,64
16001;Área Central;2010;141789;287721;15418;54,64
16002;Área Norte;2010;20652;31666;1616;70,32
16003;Área Sudoeste;2010;59419;105192;6053;62,24
17001;Médio Norte Araguaia;2010;75517;172109;15024;52,61
17002;Bico do Papagaio;2010;61989;116742;12363;63,69
17003;Sudeste;2010;28313;57554;6509;60,50
17004;Cerrado Tocantins Araguaia;2010;42004;94664;9537;54,45
17005;Ilha do Bananal;2010;44848;115429;11269;48,62
17006;Capim Dourado;2010;83371;206945;11260;45,73
17007;Cantão;2010;31916;75320;7412;52,21
17008;Amor Perfeito;2010;30014;66064;7272;56,44
21001;Açailândia;2010;90832;166679;12323;61,89
21002;Bacabal;2010;83112;159919;16831;62,50
21003;Balsas;2010;75198;143529;13423;61,74
21004;Barra do Corda;2010;74625;128497;12481;67,79
21005;Caxias;2010;92845;174151;19640;64,59
21006;Chapadinha;2010;119293;208700;22231;67,81
21007;Codó;2010;94904;176829;20920;65,50
21008;Imperatriz;2010;145467;314978;28833;55,34
21009;Itapecuru Mirim;2010;116695;207155;20795;66,37
21010;Pedreiras;2010;64415;132571;15205;60,06
21011;Pinheiro;2010;120562;227823;25378;64,06
21012;Presidente Dutra;2010;85987;172091;19609;61,36
21013;Rosário;2010;95291;159191;15600;69,66
21014;Santa Inês;2010;128180;221453;23119;68,32
21015;São João dos Patos;2010;72235;143573;16735;61,97
21016;São Luís;2010;328274;936453;66454;42,15
21017;Timon;2010;71260;147103;14844;58,53
21018;Viana;2010;80046;156113;17177;62,28
21019;Zé Doca;2010;94855;167567;14740;65,40
22001;Carnaubais;2010;41742;101281;14048;55,08
22002;Chapada das Mangabeiras;2010;58069;116605;12783;60,76
22003;Cocais;2010;110310;244295;30467;57,63
22004;Entre Rios;2010;290926;799216;76673;45,99
22005;Planície Litorânea;2010;72269;173309;19624;53,02
22006;Serra da Capivara;2010;39060;91010;10668;54,64
22007;Tabuleiros do Alto Parnaíba;2010;13638;28242;2785;58,15
22008;Vale do Canindé;2010;28724;67004;8764;55,95
22009;Vale do Rio Guaribas;2010;94467;236359;29037;52,25
22010;Vale do Sambito;2010;26436;66975;10613;55,32
22011;Vale dos Rios Piauí e Itaueiras;2010;54395;131307;17259;54,57
23001;1ª Região Fortaleza;2010;594850;1841170;170643;41,58
23002;2ª Região Caucaia;2010;155524;373675;34861;50,95
23003;3ª Região Maracanaú;2010;130897;332329;29113;48,15
23004;4ª Região Baturité;2010;37062;84541;11582;57,54
23005;5ª Região Canindé;2010;56590;121397;17294;60,86
23006;6ª Região Itapipoca;2010;81934;170178;20382;60,12
23007;7ª Região Aracati;2010;27010;74359;8315;47,51
23008;8ª Região Quixadá;2010;82440;195537;28049;56,51
23009;9ª Região Russas;2010;46776;128136;15951;48,95
23010;10ª Região Limoeiro do Norte;2010;53289;144321;18782;49,94
23011;11ª Região Sobral;2010;168153;389970;49883;55,91
23012;12ª Região Acaraú;2010;63227;132982;14575;58,51
23013;13ª Região Tianguá;2010;88060;183826;23324;60,59
23014;14ª Região Tauá;2010;30354;69744;10780;58,98
23015;15ª Região Crateús;2010;77791;183510;29276;58,34
23016;16ª Região Camocim;2010;45104;94293;10711;59,19
23017;17ª Região Icó;2010;42876;108256;16910;55,23
23018;18ª Região Iguatú;2010;76442;200131;30205;53,29
23019;19ª Região Brejo Santo;2010;54392;132353;18527;55,09
23020;20ª Região Crato;2010;89725;209275;29410;56,93
23021;21ª Região Juazeiro do Norte;2010;108652;257102;31492;54,51
23022;22ª Região Cascavel;2010;77102;195490;21491;50,43
24001;1ª Região de Saúde - São José de Mipibu;2010;99590;224345;27567;56,68
24002;2ª Região de Saúde - Mossoró;2010;105396;300981;30563;45,17
24003;3ª Região de Saúde - João Câmara;2010;93042;206525;24196;56,77
24004;4ª Região de Saúde - Caicó;2010;68143;199309;28274;48,38
24005;5ª Região de Saúde - Santa Cruz;2010;50358;118049;17312;57,32
24006;6ª Região de Saúde - Pau dos Ferros;2010;59980;158654;23372;52,54
24007;7ª Região de Saúde - Metropolitana;2010;272522;838427;76950;41,68
24008;8ª Região de Saúde - Açu;2010;36971;96501;11000;49,71
25001;1ª Região Mata Atlântica;2010;285416;821800;81905;44,70
25002;2ª Região;2010;80133;187911;30384;58,81
25003;3ª Região;2010;50546;118867;18993;58,50
25004;4ª Região;2010;28553;67524;10967;58,53
25005;5ª Região;2010;28511;73252;12712;56,28
25006;6ª Região;2010;58428;146333;19789;53,45
25007;7ª Região;2010;38239;95340;13022;53,77
25008;8ª Região;2010;27672;74251;9452;50,00
25009;9ª Região;2010;41281;110158;16532;52,48
25010;10ª Região;2010;26706;74333;11178;50,97
25011;11ª Região;2010;23101;51107;6783;58,47
25012;12ª Região;2010;45379;107693;16153;57,14
25013;13ª Região;2010;13684;38918;6003;50,59
25014;14ª Região;2010;40097;90288;11638;57,30
25015;15ª Região;2010;39438;91371;13884;58,36
25016;16ª Região;2010;125697;342883;42223;48,97
26001;Afogados da Ingazeira;2010;47195;116313;17272;55,43
26002;Arcoverde;2010;115230;238447;28925;60,46
26003;Caruaru;2010;328867;811396;101206;53,00
26004;Garanhuns;2010;147996;322260;43404;59,39
26005;Goiana;2010;81165;198331;23271;52,66
26006;Limoeiro;2010;145296;374973;46062;51,03
26007;Ouricuri;2010;103173;200598;24095;63,44
26008;Palmares;2010;168273;370161;36471;55,31
26009;Petrolina;2010;127099;285364;22250;52,34
26010;Recife;2010;890077;2741539;277141;42,58
26011;Salgueiro;2010;40520;87884;10315;57,84
26012;Serra Talhada;2010;61878;143079;18922;56,47
27001;1ª Região de Saúde;2010;303836;800604;64249;45,98
