CO_REGSAUD;DS_NOME;Ano;tx_fec_15a19;tx_fec_20a24;tx_fec_25a29;tx_fec_30a34;tx_fec_35a39;tx_fec_40a44;tx_fec_45a49;tx_fec
11001;Vale do Jamari;2000;131,45;183,90;116,18;62,06;27,32;8,23;0,89;530,05
11002;Café;2000;114,40;154,74;105,69;49,81;21,80;7,13;0,61;454,19
11003;Central;2000;108,44;163,34;96,42;44,66;21,19;7,30;0,41;441,75
11004;Madeira-Mamoré;2000;124,43;165,71;109,34;52,93;22,42;7,55;1,31;483,70
11005;Zona da Mata;2000;124,68;177,71;109,22;47,66;22,25;7,25;0,75;489,51
11006;Cone Sul;2000;109,88;156,48;89,07;38,80;15,27;4,22;0,39;414,11
11007;Vale do Guaporé;2000;122,00;149,21;92,93;66,20;18,62;10,77;1,78;461,51
12001;Alto Acre;2000;151,83;198,85;125,15;75,87;38,24;16,23;1,31;607,48
12002;Baixo Acre e Purus;2000;143,13;176,22;126,57;73,53;36,16;14,84;1,71;572,17
12003;Juruá e Tarauacá/Envira;2000;117,05;178,79;135,92;87,67;64,47;25,93;6,56;616,39
13001;Entorno Manaus e Alto Rio Negro;2000;116,52;162,04;120,56;69,56;32,23;10,22;1,17;512,30
13002;Rio Negro e Solimões;2000;124,05;165,71;136,23;78,27;55,01;26,23;4,59;590,10
13003;Rio Madeira;2000;110,25;160,21;117,36;78,28;39,33;21,53;3,10;530,06
13004;Médio Amazonas;2000;114,27;170,17;105,64;67,78;40,29;18,62;4,62;521,37
13005;Baixo Amazonas;2000;116,65;190,70;152,15;102,03;66,11;34,65;6,89;669,19
13006;Regional Purus;2000;80,06;115,51;81,90;47,53;30,96;12,70;;368,65
13007;Regional Juruá;2000;91,77;110,47;82,26;52,74;34,50;10,42;1,53;383,68
13008;Triângulo;2000;103,37;140,56;97,59;64,53;43,71;17,31;1,96;469,01
13009;Alto Solimões;2000;82,45;108,84;85,77;59,12;36,92;16,11;6,34;395,55
14001;Centro Norte;2000;144,90;196,38;155,55;88,69;49,64;17,68;1,86;654,70
14002;Sul;2000;131,00;171,68;128,83;79,09;41,12;14,21;3,48;569,43
15001;Araguaia;2000;121,15;154,75;78,84;34,93;14,91;7,85;0,32;412,76
15002;Baixo Amazonas;2000;108,95;163,72;119,42;71,93;42,08;18,85;2,15;527,10
15003;Carajás;2000;116,52;156,47;96,18;45,26;24,82;9,56;1,26;450,06
15004;Lago de Tucuruí;2000;94,87;124,82;69,78;36,82;17,76;7,89;1,18;353,12
15006;Metropolitana I;2000;98,18;136,33;94,98;52,15;23,46;5,77;0,79;411,66
15007;Metropolitana II;2000;100,33;130,64;80,33;42,18;26,92;12,93;1,78;395,11
15008;Metropolitana III;2000;104,41;148,91;91,99;48,99;30,06;12,62;1,38;438,36
15009;Rio Caetés;2000;106,14;159,84;98,18;55,02;33,32;15,38;0,96;468,84
15010;Tapajós;2000;103,37;156,64;109,95;54,70;26,17;10,40;1,53;462,75
15011;Tocantins;2000;103,51;162,35;114,95;67,19;44,71;21,11;3,02;516,83
15012;Xingu;2000;112,15;154,05;99,36;53,30;29,21;12,38;2,51;462,96
15013;Marajó I;2000;82,49;107,36;65,61;44,64;27,88;17,17;2,23;347,38
15014;Marajó II;2000;78,89;111,91;92,98;64,80;51,33;25,07;3,63;428,60
16001;Área Central;2000;128,31;187,09;147,38;88,09;45,16;14,47;2,58;613,08
16002;Área Norte;2000;108,55;158,24;99,84;73,81;46,80;28,11;;515,35
16003;Área Sudoeste;2000;137,16;188,66;160,02;92,15;67,41;18,22;2,53;666,15
17001;Médio Norte Araguaia;2000;112,56;171,65;101,61;52,69;26,67;8,34;2,31;475,85
17002;Bico do Papagaio;2000;127,32;187,28;109,16;59,26;32,35;14,99;3,91;534,27
17003;Sudeste;2000;115,77;184,71;114,63;63,48;33,88;18,22;2,45;533,15
17004;Cerrado Tocantins Araguaia;2000;145,05;189,69;102,11;41,20;22,11;6,64;1,15;507,94
17005;Ilha do Bananal;2000;110,76;155,98;94,08;43,16;20,47;6,40;1,17;432,01
17006;Capim Dourado;2000;117,62;149,66;113,02;59,24;23,32;9,12;1,35;473,33
17007;Cantão;2000;125,74;164,53;96,04;44,04;16,20;4,40;1,45;452,41
17008;Amor Perfeito;2000;114,68;164,36;104,89;50,89;24,93;13,89;0,54;474,18
21001;Açailândia;2000;70,02;98,84;62,20;29,56;14,98;6,21;0,77;282,57
21002;Bacabal;2000;85,31;121,84;69,72;34,67;17,47;6,40;;335,40
21003;Balsas;2000;84,23;155,29;107,01;68,79;38,30;16,60;2,43;472,65
21004;Barra do Corda;2000;89,45;138,38;93,63;50,20;27,97;14,11;3,97;417,69
21005;Caxias;2000;86,83;131,20;89,50;48,40;30,13;10,30;2,43;398,79
21006;Chapadinha;2000;97,05;143,70;93,11;49,97;33,09;13,65;1,65;432,21
21007;Codó;2000;115,22;160,69;99,55;55,63;30,20;12,30;2,99;476,59
21008;Imperatriz;2000;70,89;109,97;70,33;37,07;16,35;6,50;0,89;312,00
21009;Itapecuru Mirim;2000;116,22;179,32;108,00;59,33;40,41;13,95;1,76;518,99
21010;Pedreiras;2000;94,02;139,60;77,52;43,01;16,76;8,28;0,71;379,90
21011;Pinheiro;2000;66,89;98,15;52,14;27,96;13,13;5,82;1,16;265,26
21012;Presidente Dutra;2000;92,23;160,50;95,96;48,07;26,86;10,53;1,48;435,64
21013;Rosário;2000;100,05;153,65;94,20;52,81;28,46;16,81;2,78;448,76
21014;Santa Inês;2000;83,39;129,23;75,37;38,08;21,76;8,45;0,73;357,00
21015;São João dos Patos;2000;61,02;105,93;74,29;40,75;26,95;7,74;0,46;317,13
21016;São Luís;2000;85,87;136,30;88,97;49,68;22,25;5,62;0,71;389,39
21017;Timon;2000;100,52;150,39;94,74;47,62;27,10;9,90;1,87;432,14
21018;Viana;2000;90,03;130,94;75,39;35,44;20,15;8,50;1,71;362,17
21019;Zé Doca;2000;86,67;129,07;69,92;36,83;21,84;10,00;2,49;356,81
22001;Carnaubais;2000;87,79;135,00;92,56;47,05;23,93;12,78;0,86;399,96
22002;Chapada das Mangabeiras;2000;90,51;155,86;115,08;56,09;31,34;17,09;2,92;468,88
22003;Cocais;2000;107,24;165,93;117,60;75,73;45,92;19,39;2,03;533,83
22004;Entre Rios;2000;89,63;144,85;106,19;61,67;29,45;10,10;1,25;443,14
22005;Planície Litorânea;2000;110,10;156,84;100,88;61,08;37,45;13,28;1,93;481,57
22006;Serra da Capivara;2000;63,54;108,48;74,96;30,11;19,50;6,30;1,67;304,56
22007;Tabuleiros do Alto Parnaíba;2000;97,31;146,94;115,93;63,83;42,04;20,83;1,23;488,11
22008;Vale do Canindé;2000;96,15;168,00;111,51;46,90;25,13;7,73;0,93;456,36
22009;Vale do Rio Guaribas;2000;91,24;145,80;99,46;53,92;32,24;11,61;1,80;436,07
22010;Vale do Sambito;2000;92,61;149,43;99,95;46,86;23,11;9,30;2,04;423,29
22011;Vale dos Rios Piauí e Itaueiras;2000;91,57;152,23;100,62;49,96;22,78;8,01;1,31;426,48
