CO_REGSAUD;DS_NOME;Ano;Pop
11001;Vale do Jamari;2010;222668
11002;Café;2010;161019
11003;Central;2010;343531
11004;Madeira-Mamoré;2010;521074
11005;Zona da Mata;2010;135241
11006;Cone Sul;2010;137534
11007;Vale do Guaporé;2010;41342
12001;Alto Acre;2010;58661
12002;Baixo Acre e Purus;2010;475391
12003;Juruá e Tarauacá/Envira;2010;199507
13001;Entorno Manaus e Alto Rio Negro;2010;2119745
13002;Rio Negro e Solimões;2010;252027
13003;Rio Madeira;2010;165663
13004;Médio Amazonas;2010;149130
13005;Baixo Amazonas;2010;214881
13006;Regional Purus;2010;118314
13007;Regional Juruá;2010;117043
13008;Triângulo;2010;123088
13009;Alto Solimões;2010;224094
14001;Centro Norte;2010;377473
14002;Sul;2010;73006
15001;Araguaia;2010;472933
15002;Baixo Amazonas;2010;702476
15003;Carajás;2010;739954
15004;Lago de Tucuruí;2010;372764
15006;Metropolitana I;2010;2042417
15007;Metropolitana II;2010;326299
15008;Metropolitana III;2010;826857
15009;Rio Caetés;2010;485795
15010;Tapajós;2010;209531
15011;Tocantins;2010;607179
15012;Xingu;2010;307836
15013;Marajó I;2010;210936
15014;Marajó II;2010;276074
16001;Área Central;2010;444928
16002;Área Norte;2010;53934
16003;Área Sudoeste;2010;170664
17001;Médio Norte Araguaia;2010;262650
17002;Bico do Papagaio;2010;191094
17003;Sudeste;2010;92376
17004;Cerrado Tocantins Araguaia;2010;146205
17005;Ilha do Bananal;2010;171546
17006;Capim Dourado;2010;301576
17007;Cantão;2010;114648
17008;Amor Perfeito;2010;103350
21001;Açailândia;2010;269834
21002;Bacabal;2010;259862
21003;Balsas;2010;232150
21004;Barra do Corda;2010;215603
21005;Caxias;2010;286636
21006;Chapadinha;2010;350224
21007;Codó;2010;292653
21008;Imperatriz;2010;489278
21009;Itapecuru Mirim;2010;344645
21010;Pedreiras;2010;212191
21011;Pinheiro;2010;373763
21012;Presidente Dutra;2010;277687
21013;Rosário;2010;270082
21014;Santa Inês;2010;372752
21015;São João dos Patos;2010;232543
21016;São Luís;2010;1331181
21017;Timon;2010;233207
21018;Viana;2010;253336
21019;Zé Doca;2010;277162
22001;Carnaubais;2010;157071
22002;Chapada das Mangabeiras;2010;187457
22003;Cocais;2010;385072
22004;Entre Rios;2010;1166815
22005;Planície Litorânea;2010;265202
22006;Serra da Capivara;2010;140738
22007;Tabuleiros do Alto Parnaíba;2010;44665
22008;Vale do Canindé;2010;104492
22009;Vale do Rio Guaribas;2010;359863
22010;Vale do Sambito;2010;104024
22011;Vale dos Rios Piauí e Itaueiras;2010;202961
23001;1ª Região Fortaleza;2010;2606663
23002;2ª Região Caucaia;2010;564060
23003;3ª Região Maracanaú;2010;492339
23004;4ª Região Baturité;2010;133185
23005;5ª Região Canindé;2010;195281
23006;6ª Região Itapipoca;2010;272494
23007;7ª Região Aracati;2010;109684
23008;8ª Região Quixadá;2010;306026
23009;9ª Região Russas;2010;190863
23010;10ª Região Limoeiro do Norte;2010;216392
23011;11ª Região Sobral;2010;608006
23012;12ª Região Acaraú;2010;210784
23013;13ª Região Tianguá;2010;295210
23014;14ª Região Tauá;2010;110878
23015;15ª Região Crateús;2010;290577
23016;16ª Região Camocim;2010;150108
23017;17ª Região Icó;2010;168042
23018;18ª Região Iguatú;2010;306778
23019;19ª Região Brejo Santo;2010;205272
23020;20ª Região Crato;2010;328410
23021;21ª Região Juazeiro do Norte;2010;397246
23022;22ª Região Cascavel;2010;294083
24001;1ª Região de Saúde - São José de Mipibu;2010;351502
24002;2ª Região de Saúde - Mossoró;2010;436940
24003;3ª Região de Saúde - João Câmara;2010;323763
24004;4ª Região de Saúde - Caicó;2010;295726
24005;5ª Região de Saúde - Santa Cruz;2010;185719
24006;6ª Região de Saúde - Pau dos Ferros;2010;242006
24007;7ª Região de Saúde - Metropolitana;2010;1187899
24008;8ª Região de Saúde - Açu;2010;144472
25001;1ª Região Mata Atlântica;2010;1189121
25002;2ª Região;2010;298428
25003;3ª Região;2010;188406
25004;4ª Região;2010;107044
25005;5ª Região;2010;114475
25006;6ª Região;2010;224550
25007;7ª Região;2010;146601
25008;8ª Região;2010;111375
25009;9ª Região;2010;167971
25010;10ª Região;2010;112217
25011;11ª Região;2010;80991
25012;12ª Região;2010;169225
25013;13ª Região;2010;58605
