CO_REGSAUD;DS_NOME;Ano;TxCres_1020
11001;Vale do Jamari;2020;2,36
11002;Café;2020;1,28
11003;Central;2020;0,78
11004;Madeira-Mamoré;2020;2,38
11005;Zona da Mata;2020;0,82
11006;Cone Sul;2020;1,83
11007;Vale do Guaporé;2020;2,29
12001;Alto Acre;2020;1,87
12002;Baixo Acre e Purus;2020;1,80
12003;Juruá e Tarauacá/Envira;2020;1,35
13001;Entorno Manaus e Alto Rio Negro;2020;2,20
13002;Rio Negro e Solimões;2020;1,92
13003;Rio Madeira;2020;2,11
13004;Médio Amazonas;2020;1,73
13005;Baixo Amazonas;2020;1,78
13006;Regional Purus;2020;1,39
13007;Regional Juruá;2020;1,88
13008;Triângulo;2020;0,42
13009;Alto Solimões;2020;1,41
14001;Centro Norte;2020;1,96
14002;Sul;2020;1,96
15001;Araguaia;2020;2,02
15002;Baixo Amazonas;2020;0,87
15003;Carajás;2020;1,85
15004;Lago de Tucuruí;2020;2,32
15006;Metropolitana I;2020;0,84
15007;Metropolitana II;2020;1,21
15008;Metropolitana III;2020;1,38
15009;Rio Caetés;2020;1,06
15010;Tapajós;2020;0,33
15011;Tocantins;2020;1,61
15012;Xingu;2020;1,34
15013;Marajó I;2020;1,56
15014;Marajó II;2020;1,59
16001;Área Central;2020;2,42
16002;Área Norte;2020;2,63
16003;Área Sudoeste;2020;1,99
17001;Médio Norte Araguaia;2020;1,58
17002;Bico do Papagaio;2020;1,09
17003;Sudeste;2020;0,78
17004;Cerrado Tocantins Araguaia;2020;1,17
17005;Ilha do Bananal;2020;0,85
17006;Capim Dourado;2020;2,43
17007;Cantão;2020;1,44
17008;Amor Perfeito;2020;0,89
21001;Açailândia;2020;1,17
21002;Bacabal;2020;0,26
21003;Balsas;2020;0,85
21004;Barra do Corda;2020;0,90
21005;Caxias;2020;0,65
21006;Chapadinha;2020;1,08
21007;Codó;2020;0,51
21008;Imperatriz;2020;0,57
21009;Itapecuru Mirim;2020;1,19
21010;Pedreiras;2020;0,11
21011;Pinheiro;2020;0,65
21012;Presidente Dutra;2020;0,37
21013;Rosário;2020;1,27
21014;Santa Inês;2020;0,53
21015;São João dos Patos;2020;0,53
21016;São Luís;2020;1,04
21017;Timon;2020;0,80
21018;Viana;2020;0,76
21019;Zé Doca;2020;0,98
22001;Carnaubais;2020;0,24
22002;Chapada das Mangabeiras;2020;0,40
22003;Cocais;2020;0,31
22004;Entre Rios;2020;0,45
22005;Planície Litorânea;2020;0,41
22006;Serra da Capivara;2020;0,42
22007;Tabuleiros do Alto Parnaíba;2020;0,63
22008;Vale do Canindé;2020;0,29
22009;Vale do Rio Guaribas;2020;0,34
22010;Vale do Sambito;2020;0,09
22011;Vale dos Rios Piauí e Itaueiras;2020;0,14
23001;1ª Região Fortaleza;2020;0,91
23002;2ª Região Caucaia;2020;1,20
23003;3ª Região Maracanaú;2020;1,16
