CO_REGSAUD;DS_NOME;Ano;tx_mortinf
11001;Vale do Jamari;2000;15,13
11002;Café;2000;17,65
11003;Central;2000;23,55
11004;Madeira-Mamoré;2000;31,00
11005;Zona da Mata;2000;19,36
11006;Cone Sul;2000;15,62
11007;Vale do Guaporé;2000;22,52
12001;Alto Acre;2000;14,35
12002;Baixo Acre e Purus;2000;27,71
12003;Juruá e Tarauacá/Envira;2000;45,47
13001;Entorno Manaus e Alto Rio Negro;2000;31,14
13002;Rio Negro e Solimões;2000;23,31
13003;Rio Madeira;2000;9,80
13004;Médio Amazonas;2000;19,52
13005;Baixo Amazonas;2000;16,82
13006;Regional Purus;2000;11,93
13007;Regional Juruá;2000;25,52
13008;Triângulo;2000;19,83
13009;Alto Solimões;2000;36,65
14001;Centro Norte;2000;19,29
14002;Sul;2000;13,71
15001;Araguaia;2000;22,03
15002;Baixo Amazonas;2000;17,80
15003;Carajás;2000;30,80
15004;Lago de Tucuruí;2000;35,37
15006;Metropolitana I;2000;25,69
15007;Metropolitana II;2000;25,70
15008;Metropolitana III;2000;24,80
15009;Rio Caetés;2000;22,07
15010;Tapajós;2000;24,93
15011;Tocantins;2000;19,41
15012;Xingu;2000;32,57
15013;Marajó I;2000;22,95
15014;Marajó II;2000;27,78
16001;Área Central;2000;24,14
16002;Área Norte;2000;13,35
16003;Área Sudoeste;2000;18,62
17001;Médio Norte Araguaia;2000;24,18
17002;Bico do Papagaio;2000;24,17
17003;Sudeste;2000;10,45
17004;Cerrado Tocantins Araguaia;2000;27,39
17005;Ilha do Bananal;2000;18,03
17006;Capim Dourado;2000;23,18
17007;Cantão;2000;19,28
17008;Amor Perfeito;2000;28,31
21001;Açailândia;2000;29,17
21002;Bacabal;2000;21,73
21003;Balsas;2000;4,52
21004;Barra do Corda;2000;15,23
21005;Caxias;2000;24,70
21006;Chapadinha;2000;9,70
21007;Codó;2000;41,44
21008;Imperatriz;2000;19,72
21009;Itapecuru Mirim;2000;14,80
21010;Pedreiras;2000;5,88
21011;Pinheiro;2000;8,61
21012;Presidente Dutra;2000;14,75
21013;Rosário;2000;15,84
21014;Santa Inês;2000;16,21
21015;São João dos Patos;2000;25,81
21016;São Luís;2000;21,90
21017;Timon;2000;18,30
21018;Viana;2000;13,10
21019;Zé Doca;2000;15,56
22001;Carnaubais;2000;12,04
22002;Chapada das Mangabeiras;2000;20,92
22003;Cocais;2000;27,66
22004;Entre Rios;2000;22,94
22005;Planície Litorânea;2000;19,68
22006;Serra da Capivara;2000;27,13
22007;Tabuleiros do Alto Parnaíba;2000;21,13
22008;Vale do Canindé;2000;20,73
22009;Vale do Rio Guaribas;2000;24,37
22010;Vale do Sambito;2000;22,13
22011;Vale dos Rios Piauí e Itaueiras;2000;24,55
23001;1ª Região Fortaleza;2000;23,21
23002;2ª Região Caucaia;2000;22,51
23003;3ª Região Maracanaú;2000;22,08
23004;4ª Região Baturité;2000;21,09
23005;5ª Região Canindé;2000;29,78
23006;6ª Região Itapipoca;2000;34,95
23007;7ª Região Aracati;2000;19,53
23008;8ª Região Quixadá;2000;31,63
23009;9ª Região Russas;2000;23,67
23010;10ª Região Limoeiro do Norte;2000;21,22
23011;11ª Região Sobral;2000;30,86
23012;12ª Região Acaraú;2000;28,53
23013;13ª Região Tianguá;2000;35,90
23014;14ª Região Tauá;2000;37,24
23015;15ª Região Crateús;2000;27,73
23016;16ª Região Camocim;2000;34,43
23017;17ª Região Icó;2000;35,36
23018;18ª Região Iguatú;2000;25,93
23019;19ª Região Brejo Santo;2000;21,85
23020;20ª Região Crato;2000;24,17
23021;21ª Região Juazeiro do Norte;2000;28,12
23022;22ª Região Cascavel;2000;23,00
24001;1ª Região de Saúde - São José de Mipibu;2000;21,37
24002;2ª Região de Saúde - Mossoró;2000;29,96
24003;3ª Região de Saúde - João Câmara;2000;17,65
24004;4ª Região de Saúde - Caicó;2000;25,71
24005;5ª Região de Saúde - Santa Cruz;2000;20,73
24006;6ª Região de Saúde - Pau dos Ferros;2000;16,32
24007;7ª Região de Saúde - Metropolitana;2000;19,50
24008;8ª Região de Saúde - Açu;2000;26,22
25001;1ª Região Mata Atlântica;2000;23,50
25002;2ª Região;2000;42,63
25003;3ª Região;2000;32,66
25004;4ª Região;2000;35,76
25005;5ª Região;2000;38,80
25006;6ª Região;2000;33,19
25007;7ª Região;2000;37,01
25008;8ª Região;2000;19,02
25009;9ª Região;2000;20,28
25010;10ª Região;2000;11,68
25011;11ª Região;2000;45,08
25012;12ª Região;2000;55,58
25013;13ª Região;2000;18,96
25014;14ª Região;2000;51,15
25015;15ª Região;2000;41,36
25016;16ª Região;2000;37,44
26001;Afogados da Ingazeira;2000;35,07
26002;Arcoverde;2000;31,87
26003;Caruaru;2000;37,07
26004;Garanhuns;2000;40,99
26005;Goiana;2000;34,69
26006;Limoeiro;2000;28,89
26007;Ouricuri;2000;25,84
26008;Palmares;2000;44,21
26009;Petrolina;2000;30,95
26010;Recife;2000;23,16
26011;Salgueiro;2000;27,20
26012;Serra Talhada;2000;27,97
27001;1ª Região de Saúde;2000;32,41
27002;2ª Região de Saúde;2000;49,68
27003;3ª Região de Saúde;2000;38,09
27004;4ª Região de Saúde;2000;40,27
27005;5ª Região de Saúde;2000;24,43
27006;6ª Região de Saúde;2000;35,01
27007;7ª Região de Saúde;2000;24,18
27008;8ª Região de Saúde;2000;26,25
27009;9ª Região de Saúde;2000;25,47
27010;10ª Região de Saúde;2000;21,01
28001;Aracaju;2000;29,43
28002;Estância;2000;26,96
28003;Itabaiana;2000;22,78
28004;Lagarto;2000;20,75
28005;Nossa Senhora da Glória;2000;33,26
28006;Nossa Senhora do Socorro;2000;36,59
28007;Propriá;2000;28,71
29001;Alagoinhas;2000;30,35
29002;Barreiras;2000;14,64
29003;Brumado;2000;27,35
29004;Camaçari;2000;23,81
29005;Cruz das Almas;2000;34,08
29006;Feira de Santana;2000;13,93
29007;Guanambi;2000;24,80
29008;Ibotirama;2000;19,83
29009;Ilhéus;2000;33,15
29010;Irecê;2000;22,63
29011;Itaberaba;2000;39,61
29012;Itabuna;2000;39,26
29013;Itapetinga;2000;19,44
29014;Jacobina;2000;25,66
29015;Jequié;2000;24,76
29016;Juazeiro;2000;27,20
29017;Paulo Afonso;2000;26,76
29018;Porto Seguro;2000;32,66
29019;Ribeira do Pombal;2000;37,28
29020;Salvador;2000;26,54
29021;Santa Maria da Vitória;2000;25,17
29022;Santo Antônio de Jesus;2000;33,34
29023;Seabra;2000;19,06
29024;Senhor do Bonfim;2000;19,53
29025;Serrinha;2000;22,53
29026;Teixeira de Freitas;2000;38,99
29027;Valença;2000;23,39
29028;Vitória da Conquista;2000;27,71
31001;Águas Formosas;2000;18,25
31002;Além Paraíba;2000;24,31
31003;Alfenas Machado;2000;21,60
31004;Almenara;2000;42,44
31005;Araçuaí;2000;15,90
31006;Araxá;2000;20,87
31007;Barbacena;2000;28,85
31008;Belo Horizonte Nova Lima Caeté;2000;18,65
31009;Betim;2000;19,07
31010;Bom Despacho;2000;18,56
31011;Brasília de Minas São Francisco;2000;28,33
31012;Carangola;2000;30,76
31013;Caratinga;2000;32,20
31014;Conselheiro Lafaiete Congonhas;2000;26,84
31015;Contagem;2000;20,32
31016;Coração de Jesus;2000;24,45
31017;Coronel Fabriciano Timóteo;2000;22,97
31018;Curvelo;2000;16,58
31019;Diamantina;2000;25,95
31020;Divinópolis Santo Antônio do Monte;2000;16,88
31021;Formiga;2000;21,28
31022;Francisco Sá;2000;33,93
31023;Frutal Iturama;2000;21,08
31024;Governador Valadares;2000;24,51
31025;Guanhães;2000;26,49
31026;Guaxupé;2000;24,27
31027;Ipatinga;2000;17,79
31028;Itabira;2000;22,29
31029;Itajubá;2000;23,87
31030;Itaobim;2000;12,22
31031;Itaúna;2000;16,50
31032;Ituiutaba;2000;16,03
31033;Janaúba Monte Azul;2000;16,60
31034;Januária;2000;13,14
31035;João Monlevade;2000;29,97
31036;João Pinheiro;2000;13,76
31037;Juiz de Fora Lima Duarte Bom Jardim Min;2000;24,39
31038;Lavras;2000;24,41
31039;Leopoldina Cataguases;2000;18,93
31040;Manga;2000;24,18
31041;Manhuaçu;2000;29,20
31042;Mantena;2000;32,20
