CO_REGSAUD;DS_NOME;Ano;tx_nat
11001;Vale do Jamari;2013;14,65
11002;Café;2013;13,89
11003;Central;2013;14,17
11004;Madeira-Mamoré;2013;18,23
11005;Zona da Mata;2013;13,89
11006;Cone Sul;2013;15,11
11007;Vale do Guaporé;2013;14,67
12001;Alto Acre;2013;20,99
12002;Baixo Acre e Purus;2013;20,82
12003;Juruá e Tarauacá/Envira;2013;25,13
13001;Entorno Manaus e Alto Rio Negro;2013;20,44
13002;Rio Negro e Solimões;2013;20,14
13003;Rio Madeira;2013;16,66
13004;Médio Amazonas;2013;20,20
13005;Baixo Amazonas;2013;20,76
13006;Regional Purus;2013;19,54
13007;Regional Juruá;2013;22,34
13008;Triângulo;2013;23,91
13009;Alto Solimões;2013;26,09
14001;Centro Norte;2013;23,14
14002;Sul;2013;16,99
15001;Araguaia;2013;14,15
15002;Baixo Amazonas;2013;20,30
15003;Carajás;2013;20,42
15004;Lago de Tucuruí;2013;17,67
15006;Metropolitana I;2013;15,64
15007;Metropolitana II;2013;18,20
15008;Metropolitana III;2013;16,18
15009;Rio Caetés;2013;17,92
15010;Tapajós;2013;13,85
15011;Tocantins;2013;18,03
15012;Xingu;2013;19,97
15013;Marajó I;2013;15,98
15014;Marajó II;2013;23,38
16001;Área Central;2013;21,72
16002;Área Norte;2013;20,04
16003;Área Sudoeste;2013;20,88
17001;Médio Norte Araguaia;2013;17,44
17002;Bico do Papagaio;2013;16,35
17003;Sudeste;2013;14,91
17004;Cerrado Tocantins Araguaia;2013;15,27
17005;Ilha do Bananal;2013;13,54
17006;Capim Dourado;2013;18,29
17007;Cantão;2013;14,59
17008;Amor Perfeito;2013;16,50
21001;Açailândia;2013;16,81
21002;Bacabal;2013;16,29
21003;Balsas;2013;17,80
21004;Barra do Corda;2013;20,30
21005;Caxias;2013;17,34
21006;Chapadinha;2013;17,08
21007;Codó;2013;17,84
21008;Imperatriz;2013;18,53
21009;Itapecuru Mirim;2013;17,24
21010;Pedreiras;2013;16,60
21011;Pinheiro;2013;15,43
21012;Presidente Dutra;2013;16,70
21013;Rosário;2013;16,83
21014;Santa Inês;2013;17,45
21015;São João dos Patos;2013;16,14
21016;São Luís;2013;16,29
21017;Timon;2013;15,38
21018;Viana;2013;16,27
21019;Zé Doca;2013;17,02
22001;Carnaubais;2013;14,00
22002;Chapada das Mangabeiras;2013;16,30
22003;Cocais;2013;14,91
22004;Entre Rios;2013;15,43
22005;Planície Litorânea;2013;14,90
22006;Serra da Capivara;2013;14,41
22007;Tabuleiros do Alto Parnaíba;2013;17,64
22008;Vale do Canindé;2013;11,98
22009;Vale do Rio Guaribas;2013;12,80
22010;Vale do Sambito;2013;11,42
22011;Vale dos Rios Piauí e Itaueiras;2013;12,97
23001;1ª Região Fortaleza;2013;14,46
23002;2ª Região Caucaia;2013;14,85
23003;3ª Região Maracanaú;2013;14,81
23004;4ª Região Baturité;2013;13,67
23005;5ª Região Canindé;2013;12,70
23006;6ª Região Itapipoca;2013;15,42
23007;7ª Região Aracati;2013;12,53
23008;8ª Região Quixadá;2013;13,28
23009;9ª Região Russas;2013;11,93
23010;10ª Região Limoeiro do Norte;2013;12,21
23011;11ª Região Sobral;2013;14,41
23012;12ª Região Acaraú;2013;15,76
23013;13ª Região Tianguá;2013;16,05
23014;14ª Região Tauá;2013;12,05
23015;15ª Região Crateús;2013;11,82
23016;16ª Região Camocim;2013;14,28
23017;17ª Região Icó;2013;12,21
23018;18ª Região Iguatú;2013;11,45
23019;19ª Região Brejo Santo;2013;14,39
23020;20ª Região Crato;2013;15,27
23021;21ª Região Juazeiro do Norte;2013;16,34
23022;22ª Região Cascavel;2013;14,27
24001;1ª Região de Saúde - São José de Mipibu;2013;14,90
24002;2ª Região de Saúde - Mossoró;2013;13,78
24003;3ª Região de Saúde - João Câmara;2013;13,15
24004;4ª Região de Saúde - Caicó;2013;12,04
24005;5ª Região de Saúde - Santa Cruz;2013;13,40
24006;6ª Região de Saúde - Pau dos Ferros;2013;12,44
24007;7ª Região de Saúde - Metropolitana;2013;14,79
24008;8ª Região de Saúde - Açu;2013;12,19
25001;1ª Região Mata Atlântica;2013;15,45
25002;2ª Região;2013;13,94
25003;3ª Região;2013;15,10
25004;4ª Região;2013;13,28
25005;5ª Região;2013;13,65
25006;6ª Região;2013;13,79
25007;7ª Região;2013;12,51
25008;8ª Região;2013;12,56
25009;9ª Região;2013;13,20
25010;10ª Região;2013;13,33
25011;11ª Região;2013;12,40
25012;12ª Região;2013;14,58
25013;13ª Região;2013;13,21
25014;14ª Região;2013;15,37
25015;15ª Região;2013;14,17
25016;16ª Região;2013;15,26
26001;Afogados da Ingazeira;2013;14,82
26002;Arcoverde;2013;15,67
26003;Caruaru;2013;15,06
26004;Garanhuns;2013;16,14
26005;Goiana;2013;14,47
26006;Limoeiro;2013;13,99
26007;Ouricuri;2013;16,88
26008;Palmares;2013;17,30
26009;Petrolina;2013;18,12
26010;Recife;2013;14,80
26011;Salgueiro;2013;16,71
26012;Serra Talhada;2013;16,05
27001;1ª Região de Saúde;2013;15,50
27002;2ª Região de Saúde;2013;16,55
27003;3ª Região de Saúde;2013;16,69
27004;4ª Região de Saúde;2013;16,42
27005;5ª Região de Saúde;2013;15,21
27006;6ª Região de Saúde;2013;16,25
27007;7ª Região de Saúde;2013;15,84
27008;8ª Região de Saúde;2013;15,53
27009;9ª Região de Saúde;2013;16,85
27010;10ª Região de Saúde;2013;16,49
28001;Aracaju;2013;15,46
28002;Estância;2013;15,63
28003;Itabaiana;2013;14,76
28004;Lagarto;2013;14,23
28005;Nossa Senhora da Glória;2013;16,43
28006;Nossa Senhora do Socorro;2013;16,90
28007;Propriá;2013;16,03
29001;Alagoinhas;2013;12,96
29002;Barreiras;2013;16,27
29003;Brumado;2013;11,95
29004;Camaçari;2013;15,02
29005;Cruz das Almas;2013;12,11
29006;Feira de Santana;2013;13,54
29007;Guanambi;2013;12,26
29008;Ibotirama;2013;14,39
29009;Ilhéus;2013;13,72
29010;Irecê;2013;14,00
29011;Itaberaba;2013;13,72
29012;Itabuna;2013;13,47
29013;Itapetinga;2013;12,30
29014;Jacobina;2013;12,43
29015;Jequié;2013;13,87
29016;Juazeiro;2013;16,28
29017;Paulo Afonso;2013;14,31
29018;Porto Seguro;2013;15,63
29019;Ribeira do Pombal;2013;11,91
29020;Salvador;2013;12,91
29021;Santa Maria da Vitória;2013;14,11
29022;Santo Antônio de Jesus;2013;11,98
29023;Seabra;2013;12,73
29024;Senhor do Bonfim;2013;13,81
29025;Serrinha;2013;13,13
29026;Teixeira de Freitas;2013;14,85
29027;Valença;2013;13,75
29028;Vitória da Conquista;2013;13,73
31001;Águas Formosas;2013;14,01
31002;Além Paraíba;2013;11,44
